Participant ID,Using right hand?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Accuracy Score,Time Score,Cumulative Accuracy Score,Cumulative Time Score,Cumulative Score,Reach Distance,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
0,YES,NO,1,7.466701,3,7.466701,YES,YES,YES,-2.337254,3.564662,116.5787,9.057186,6.523887,2.533299,6.523887,2.533299,9.057186,0.9114495,0.05555556,6.388908,1.022224,0.0555563,1.400019,0.5444517
0,YES,NO,2,9.722286,2,2.255557,YES,YES,YES,-8.905997,-4.5463,42.60803,12.29128,4.546834,7.744443,11.07072,10.27774,21.34846,0.8612691,0.6666671,1.577781,0.01111111,0.6666756,1.333351,0
0,YES,NO,3,15.52236,1,5.800012,YES,YES,YES,-5.684927,-6.911407,120.466,12.71863,8.518643,4.199988,19.58936,14.47773,34.06709,0.6733515,1.011112,3.244438,1.544447,0.8444557,0.7555656,0.4000053
0,YES,NO,4,22.17748,4,6.655579,YES,YES,YES,4.593751,1.435817,47.02847,11.21036,7.865939,3.344421,27.4553,17.82215,45.27745,0.8027962,0.4222222,5.033335,1.200002,0.4221916,1.344347,0.2444267
0,YES,NO,5,32.17678,6,10.00007,NO,NO,YES,1.492739,-3.789023,177.0358,0,6.771088E-05,-6.771088E-05,27.45537,17.82208,45.27745,0.4551105,0.3555556,5.988903,3.655546,0,1.533245,0.4777489
0,YES,NO,6,42.17777,4,10.00007,YES,NO,YES,3.938833,2.213071,120.1841,0,6.771088E-05,-6.771088E-05,27.45544,17.82201,45.27745,0.7677483,2.744442,7.144474,0.1111111,0.03333664,1.85574,0.1111221
0,YES,NO,7,45.74479,2,3.566658,YES,YES,YES,-9.010082,-2.277034,47.98782,14.75053,8.317183,6.433342,35.77262,24.25536,60.02798,0.8440088,1.466669,1.966671,0.1333333,1.4557,0.5444984,0
0,YES,NO,8,52.46768,3,6.722246,YES,YES,YES,-3.726825,-0.1969286,77.96034,11.63961,8.361858,3.277754,44.13448,27.53311,71.66759,0.9158982,1.366669,4.033321,1.322224,1.35569,0.6445084,0
0,YES,NO,9,60.124,4,7.655592,YES,YES,YES,5.515793,1.599673,91.19131,11.3338,8.989395,2.344408,53.12388,29.87752,83.0014,0.8088228,2.088892,4.666663,0.900001,1.111221,0.8889771,0
0,YES,NO,10,70.12289,6,10.00007,NO,NO,YES,-2.928737,-3.512802,56.29787,0,6.771088E-05,-6.771088E-05,53.12395,29.87745,83.0014,0.3336333,0,8.466714,1.533336,0,2.01062,0
0,YES,NO,11,80.12045,2,10.00007,NO,NO,YES,14.69622,-1.353108,329.8147,0,6.771088E-05,-6.771088E-05,53.12402,29.87738,83.0014,0.71213,0.9222233,7.400033,1.677781,0,0.333252,1.677368
0,YES,NO,12,90.118,5,10.00007,NO,NO,YES,13.50932,-1.374592,302.1914,0,6.771088E-05,-6.771088E-05,53.12408,29.87731,83.0014,0.8947232,0,0,10.00007,0,0,2.01062
0,YES,NO,13,100.1156,1,10.00007,NO,NO,YES,12.65343,-1.566303,303.2879,0,6.771088E-05,-6.771088E-05,53.12415,29.87724,83.0014,0.6599687,0.01111111,0,9.988956,0,0,2.01062
0,YES,NO,14,110.1131,3,10.00007,NO,NO,YES,14.11743,-2.3403,275.9839,0,6.771088E-05,-6.771088E-05,53.12422,29.87717,83.0014,0.8855994,0.01111111,0,9.988956,0,0,2.01062
0,YES,NO,15,120.1107,6,10.00007,NO,NO,YES,12.52347,-1.330135,312.632,0,6.771088E-05,-6.771088E-05,53.12429,29.87711,83.0014,0.9043761,0,8.777829,1.222224,0,1.644043,0.3665771
0,YES,NO,16,130.1082,2,10.00007,NO,NO,YES,13.11544,-2.173517,296.817,0,6.771088E-05,-6.771088E-05,53.12436,29.87704,83.0014,0.9094552,0,0,10.00007,0,0,2.01062
0,YES,NO,17,140.1058,4,10.00007,NO,NO,YES,12.70812,-1.430718,320.1772,0,6.771088E-05,-6.771088E-05,53.12443,29.87697,83.0014,0.8531131,0.01111111,9.988956,0,0,2.01062,0
0,YES,NO,18,150.1034,5,10.00007,NO,NO,YES,13.41793,-1.507985,270.3152,0,6.771088E-05,-6.771088E-05,53.1245,29.8769,83.0014,0.8463783,0,0,10.00007,0,0,2.01062
0,YES,NO,19,160.1009,2,10.00007,NO,NO,YES,13.07226,-1.363818,301.3842,0,6.771088E-05,-6.771088E-05,53.12457,29.87683,83.0014,0.8709313,0,0,10.00007,0,0,2.01062
0,YES,NO,20,170.0985,6,10.00007,NO,NO,YES,12.24311,-1.898014,283.2564,0,6.771088E-05,-6.771088E-05,53.12463,29.87676,83.0014,0.8681192,0,8.555604,1.444447,0,1.66626,0.3443604
0,YES,NO,21,180.096,4,10.00007,NO,NO,YES,13.48545,-1.973813,272.8839,0,6.771088E-05,-6.771088E-05,53.1247,29.87669,83.0014,0.9542372,0,10.00007,0,0,2.01062,0
0,YES,NO,22,190.0936,6,10.00007,NO,NO,YES,12.88412,-1.643857,271.0453,0,6.771088E-05,-6.771088E-05,53.12477,29.87663,83.0014,0.9157798,0,9.100056,0.900001,0,1.888428,0.1221924
