Participant ID,Trial Number,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
1,1,0,1.655578,0.3333378
1,2,0.300004,1.688911,0
1,3,0.07777214,0.6443977,1.277788
1,4,0.5666256,1.0777,0.3555527
1,5,0.9110451,1.08881,0
1,6,1.155472,0.8443832,0
1,7,0.6221771,1.366568,0.01111031
1,8,0.6333961,1.35569,0
1,9,0.03333664,0.988987,0.9667625
1,10,0.4778252,1.366802,0.1444588
1,11,0.3444786,1.644608,0
1,12,0.2778053,1.711281,0
1,13,0.6556206,1.333466,0
1,14,0.6667328,1.322353,0
1,15,1.144558,0.8445282,0
1,16,0.311142,0.5111618,1.166782
1,17,0.3887939,1.044189,0.5665283
1,18,1.299683,0.6998291,0
1,19,0.1888428,0.2888184,1.521851
1,20,0.7998047,0.6776123,0.5220947
1,21,0.8886719,1.11084,0
1,22,0.4332275,1.566284,0
1,23,0.7442627,0.5776367,0.6776123
1,24,1.510742,0.4887695,0
1,25,0.1777344,0.7886963,1.033081
