Participant ID,Using right hand?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Accuracy Score,Time Score,Cumulative Accuracy Score,Cumulative Time Score,Cumulative Score,Reach Distance,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
DL,NO,NO,1,8.977832,3,8.977832,YES,YES,YES,-3.04794,-1.354901,60.92057,6.096453,5.074285,1.022168,5.074285,1.022168,6.096453,0.7839763,1.944448,7.02225,0.01111111,0.8777895,1.122237,0
DL,NO,NO,2,18.97771,2,10.00007,NO,NO,YES,-0.148974,-0.5275306,93.65965,0,6.771088E-05,-6.771088E-05,5.074353,1.0221,6.096453,0.511306,1.600003,7.355588,1.044446,0.3666401,1.644325,0
DL,NO,NO,3,23.96624,6,4.98889,YES,YES,YES,9.316431,-3.216577,32.0442,12.10204,7.090934,5.01111,12.16529,6.033211,18.1985,0.4856159,1.86667,2.83333,0.2888889,1.744318,0.2666473,0
DL,NO,NO,4,33.96585,2,10.00007,NO,NO,YES,3.525996,-3.112609,65.67235,0,6.771088E-05,-6.771088E-05,12.16535,6.033143,18.1985,0.5016469,2.044448,5.766678,2.188891,0,1.777946,0.2222443
DL,NO,NO,5,38.5663,1,4.599996,YES,YES,YES,-2.240222,-3.821455,41.32422,12.24375,6.843741,5.400004,19.0091,11.43315,30.44224,0.3227865,1.355558,3.233327,0.01111111,1.35569,0.6445084,0
DL,NO,NO,6,48.5673,5,10.00007,NO,NO,YES,11.73349,4.346403,96.12495,0,6.771088E-05,-6.771088E-05,19.00916,11.43308,30.44224,0.6338159,0.3333333,5.633343,4.033321,0,1.800179,0.2000198
DL,NO,NO,7,53.70114,2,5.133336,YES,YES,YES,-4.59482,-0.2759453,48.36242,14.36526,9.498592,4.866664,28.50776,16.29974,44.8075,0.5882901,1.76667,1.422225,1.944448,1.211231,0.7889671,0
DL,NO,NO,8,58.71275,3,5.011112,YES,YES,YES,-0.202794,4.330112,44.85617,9.028626,4.039739,4.988888,32.54749,21.28863,53.83612,0.7663543,1.811115,3.199994,0,1.066772,0.9334259,0
DL,NO,NO,9,63.82436,4,5.111114,YES,YES,YES,9.683948,2.628413,33.92793,11.11225,6.223362,4.888886,38.77085,26.17752,64.94837,0.8757762,1.755559,1.944448,1.411114,1.65572,0.3444786,0
DL,NO,NO,10,70.11178,3,6.288907,YES,YES,YES,-0.2666762,1.841026,44.3516,9.435841,5.724748,3.711093,44.4956,29.88861,74.38422,0.77657,2.411112,2.788886,1.08889,2.01062,0,0
DL,NO,NO,11,80.10934,5,10.00007,NO,NO,YES,2.523597,-2.557154,80.2874,0,6.771088E-05,-6.771088E-05,44.49567,29.88854,74.38422,0.2123595,1.588892,4.744442,3.666657,0,2.01062,0
