Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
,YES,YES,1,10.00007,2,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,2,19.99986,3,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,3,29.99913,4,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,4,39.99978,5,10.00007,NO,NO,NO,0,0,0,0,0
,YES,YES,5,50.00077,6,10.00007,NO,NO,NO,0,0,0,0,0
,YES,YES,6,60.00176,1,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,7,70.00069,2,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,8,79.99825,3,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,9,89.99581,4,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,10,99.99337,5,10.00007,NO,NO,NO,0,0,0,0,0
,YES,YES,11,109.9909,6,10.00007,NO,NO,NO,0,0,0,0,0
,YES,YES,12,119.9885,1,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,13,129.9861,2,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,14,139.9836,3,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,15,149.9812,4,10.00007,YES,NO,NO,0,0,0,0,0
,YES,YES,16,159.9787,5,10.00007,NO,NO,NO,0,0,0,0,0
,YES,YES,17,169.9763,6,10.00007,NO,NO,NO,0,0,0,0,0
,YES,YES,18,179.9738,5,10.00007,NO,NO,YES,0,0,0,0,0
,YES,YES,19,189.9714,2,10.00007,YES,NO,YES,0,0,0,0,0
,YES,YES,20,199.969,1,10.00007,YES,NO,YES,0,0,0,0,0
