Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
2,YES,NO,1,8.744495,2,8.744495,YES,YES,NO,-10.04194,0.500495,69.97825,1.705611,1.705611
2,YES,NO,2,13.57789,3,4.833332,YES,YES,NO,-9.279468,0.55272,34.39831,9.88194,11.58755
2,YES,NO,3,19.56656,4,5.988903,YES,YES,NO,7.437431,2.746295,48.50808,6.118503,17.70605
2,YES,NO,4,29.56583,5,10.00007,NO,NO,NO,8.152582,0.6470777,80.11536,0,17.70605
2,YES,NO,5,39.5664,6,10.00007,NO,NO,NO,3.687438,-3.947298,79.53274,0,17.70605
2,YES,NO,6,49.56739,1,10.00007,NO,NO,NO,-5.46383,-0.6700619,95.76267,0,17.70605
2,YES,NO,7,55.32352,2,5.755567,YES,YES,NO,-8.455698,0.5335776,19.93528,12.06984,29.77589
2,YES,NO,8,58.95721,3,3.633324,YES,YES,NO,-8.795133,1.718116,17.87483,14.0498,43.82569
2,YES,NO,9,67.72347,4,8.766718,YES,YES,NO,6.550694,2.389513,59.48503,5.508956,49.33465
2,YES,NO,10,74.41073,5,6.688912,YES,YES,NO,6.99888,0.7831621,29.66474,7.593986,56.92863
2,YES,NO,11,84.40829,6,10.00007,NO,NO,NO,4.060101,-3.793857,68.9099,0,56.92863
2,YES,NO,12,94.40585,3,10.00007,NO,NO,YES,-7.505138,-0.6143262,60.77019,0,56.92863
2,YES,NO,13,104.4034,6,10.00007,NO,NO,YES,-1.433812,-4.489996,101.9724,0,56.92863
2,YES,NO,14,110.7352,5,6.333352,YES,YES,YES,6.543923,-0.5460674,55.6191,9.405668,66.3343
2,YES,NO,15,120.7327,6,10.00007,NO,NO,YES,2.512305,-1.051698,76.45131,0,66.3343
2,YES,NO,16,130.7303,1,10.00007,NO,NO,YES,-4.109691,-0.8745063,36.53682,0,66.3343
2,YES,NO,17,133.2852,2,2.555555,YES,YES,YES,-10.16321,-1.712625,16.80445,12.94646,79.28077
2,YES,NO,18,139.2949,3,6.011126,YES,YES,NO,-8.483736,1.072705,41.37844,5.2225,84.50327
2,YES,NO,19,149.2924,4,10.00007,NO,NO,NO,2.889881,-2.501651,61.4782,0,84.50327
2,YES,NO,20,155.2577,5,5.966681,YES,YES,NO,7.793549,1.400715,46.63263,10.54361,95.04688
2,YES,NO,21,165.2552,6,10.00007,NO,NO,NO,5.682098,-0.7959763,77.6806,0,95.04688
2,YES,NO,22,175.2528,1,10.00007,NO,NO,NO,-4.199722,-3.579499,89.1879,0,95.04688
2,YES,NO,23,179.2962,2,4.044433,YES,YES,NO,-9.096578,-2.901266,26.28894,12.84985,107.8967
2,YES,NO,24,189.2938,1,10.00007,NO,NO,YES,-13.34436,3.463044,103.8453,0,107.8967
2,YES,NO,25,191.8932,2,2.599999,YES,YES,YES,-9.766377,-1.422354,45.11967,8.304064,116.2008
