Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Alex,YES,YES,1,3.888877,2,3.888877,YES,YES,NO,-9.950896,-0.9647409,36.05824,10.67053,10.67053
Alex,YES,YES,2,13.88901,3,10.00007,YES,NO,NO,-8.743752,3.332061,151.404,0,10.67053
Alex,YES,YES,3,23.88846,4,10.00007,NO,NO,NO,17.12241,3.011305,170.2312,0,10.67053
Alex,YES,YES,4,33.88806,5,10.00007,NO,NO,NO,6.191707,-5.958128,325.4444,0,10.67053
Alex,YES,YES,5,43.88905,6,10.00007,YES,NO,NO,12.28948,-5.988885,215.2913,0,10.67053
Alex,YES,YES,6,48.51173,5,4.622218,YES,YES,YES,4.263402,-1.63249,67.03748,6.318073,16.98861
Alex,YES,YES,7,58.51273,6,10.00007,YES,NO,YES,9.625711,-3.049106,207.6839,0,16.98861
Alex,YES,YES,8,68.51217,3,10.00007,NO,NO,YES,-18.67484,6.285952,175.1703,0,16.98861
Alex,YES,YES,9,76.83236,5,8.322268,YES,YES,YES,2.145263,1.41873,216.9969,6.865699,23.85431
Alex,YES,YES,10,86.82992,1,10.00007,NO,NO,YES,-18.37984,-3.772798,171.6922,0,23.85431
Alex,YES,YES,11,96.82748,4,10.00007,NO,NO,YES,13.03536,-0.06680996,172.3239,0,23.85431
Alex,YES,YES,12,103.0704,5,6.244462,YES,YES,NO,2.120506,0.6202284,143.2,7.379125,31.23343
Alex,YES,YES,13,113.068,6,10.00007,YES,NO,NO,11.48048,-4.660178,219.546,0,31.23343
Alex,YES,YES,14,119.8441,1,6.777802,YES,YES,NO,-0.6542122,-4.038214,118.1855,8.315525,39.54895
Alex,YES,YES,15,124.5985,2,4.755553,YES,YES,NO,-11.57432,-0.7884642,75.42011,6.363384,45.91234
Alex,YES,YES,16,134.596,3,10.00007,YES,NO,NO,-5.313416,3.604575,185.5847,0,45.91234
Alex,YES,YES,17,144.5936,4,10.00007,NO,NO,NO,14.8632,1.381695,141.5435,0,45.91234
Alex,YES,YES,18,154.5912,5,10.00007,NO,NO,NO,16.24428,-0.3878296,183.7814,0,45.91234
Alex,YES,YES,19,164.5887,6,10.00007,NO,NO,NO,15.87854,0.7156216,148.2314,0,45.91234
Alex,YES,YES,20,170.3318,1,5.744455,YES,YES,NO,-5.418588,-2.490326,113.4124,9.89217,55.80451
Alex,YES,YES,21,173.5088,2,3.177772,YES,YES,NO,-12.76209,0.04626541,82.17477,12.42314,68.22765
Alex,YES,YES,22,183.5063,3,10.00007,NO,NO,NO,-0.3491194,-3.903027,211.1157,0,68.22765
Alex,YES,YES,23,193.5039,4,10.00007,NO,NO,NO,13.68091,0.2303405,145.9725,0,68.22765
Alex,YES,YES,24,199.4135,6,5.911124,YES,YES,YES,12.61649,-6.312253,97.13676,6.734863,74.96251
Alex,YES,YES,25,203.5681,2,4.155545,YES,YES,YES,-14.33678,-1.947183,75.59158,11.77511,86.73762
