Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Alex2,YES,NO,1,10.00007,4,10.00007,NO,NO,YES,14.16108,-0.7100314,105.6142,0,0
Alex2,YES,NO,2,13.47789,2,3.47777,YES,YES,YES,-9.747987,1.905604,52.78192,8.952353,8.952353
Alex2,YES,NO,3,23.47738,3,10.00007,NO,NO,YES,-14.01169,4.466681,131.897,0,8.952353
Alex2,YES,NO,4,33.06576,4,9.588951,YES,YES,YES,11.52639,3.085805,139.6861,2.624339,11.57669
Alex2,YES,NO,5,36.62167,5,3.555547,YES,YES,YES,4.401872,2.32286,48.15715,13.29148,24.86817
Alex2,YES,NO,6,46.62266,4,10.00007,NO,NO,YES,15.87621,3.289873,167.8306,0,24.86817
Alex2,YES,NO,7,56.62365,6,10.00007,NO,NO,YES,15.7338,-0.01194529,139.0948,0,24.86817
Alex2,YES,NO,8,66.3016,1,9.677841,YES,YES,YES,-5.751063,-2.060943,146.6617,5.512731,30.3809
Alex2,YES,NO,9,73.86642,3,7.566702,YES,YES,YES,-8.016595,2.358474,158.966,11.61487,41.99577
Alex2,YES,NO,10,83.86398,1,10.00007,NO,NO,YES,-13.60832,2.889874,225.0438,0,41.99577
Alex2,YES,NO,11,86.82992,3,2.966663,YES,YES,YES,-3.9567,3.167959,66.12877,13.62136,55.61713
Alex2,YES,NO,12,90.89559,4,4.066655,YES,YES,NO,12.2234,2.405379,87.0425,10.57854,66.19568
Alex2,YES,NO,13,93.42831,5,2.533333,YES,YES,NO,2.247836,1.649301,69.55679,15.65506,81.85074
Alex2,YES,NO,14,103.4259,6,10.00007,NO,NO,NO,13.85343,0.5788907,187.3695,0,81.85074
Alex2,YES,NO,15,110.5686,1,7.144474,YES,YES,NO,-1.055205,-2.834631,109.6673,8.222265,90.07301
Alex2,YES,NO,16,112.7791,2,2.211113,YES,YES,NO,-7.633526,-0.6997686,80.84686,12.08519,102.1582
Alex2,YES,NO,17,114.9897,3,2.211113,YES,YES,NO,-9.412137,2.481908,59.5341,14.73752,116.8957
Alex2,YES,NO,18,123.4432,1,8.455603,YES,YES,YES,-1.933705,-2.212497,200.4856,2.692141,119.5879
Alex2,YES,NO,19,126.6424,5,3.199994,YES,YES,YES,5.679324,2.696053,80.36623,8.842707,128.4306
Alex2,YES,NO,20,129.5528,4,2.911108,YES,YES,YES,11.97207,2.368819,86.95216,14.82923,143.2598
Alex2,YES,NO,21,134.9626,3,5.411118,YES,YES,YES,-6.591607,3.167273,105.3866,12.12666,155.3865
Alex2,YES,NO,22,138.3729,5,3.411103,YES,YES,YES,7.507226,1.81854,70.4469,10.58053,165.967
Alex2,YES,NO,23,140.2058,2,1.833337,YES,YES,YES,-10.14225,1.717181,33.01042,15.98729,181.9543
Alex2,YES,NO,24,142.0276,3,1.822226,YES,YES,NO,-6.831068,2.496641,35.45268,16.05351,198.0078
Alex2,YES,NO,25,147.815,4,5.7889,YES,YES,NO,8.786955,2.126843,115.3893,6.630769,204.6386
