Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Dash,YES,NO,1,10.00007,2,10.00007,NO,NO,NO,-3.495473,-2.116841,50.81446,0,0
Dash,YES,NO,2,19.99986,3,10.00007,NO,NO,NO,-6.240754,-2.516325,77.40858,0,0
Dash,YES,NO,3,29.99913,4,10.00007,NO,NO,NO,-0.2716652,1.73228,108.3461,0,0
Dash,YES,NO,4,39.99978,5,10.00007,YES,NO,NO,3.78781,-2.110041,80.91661,0,0
Dash,YES,NO,5,50.00077,6,10.00007,YES,NO,NO,4.331276,-3.372551,91.71499,0,0
Dash,YES,NO,6,60.00176,2,10.00007,YES,NO,YES,-12.06093,-2.669659,102.0749,0,0
Dash,YES,NO,7,70.00069,5,10.00007,NO,NO,YES,1.405339,-2.402165,126.9704,0,0
Dash,YES,NO,8,79.99825,1,10.00007,YES,NO,YES,-2.803442,-6.519824,91.81906,0,0
Dash,YES,NO,9,89.99581,4,10.00007,NO,NO,YES,0.6864783,-1.493159,95.29459,0,0
Dash,YES,NO,10,99.99337,5,10.00007,YES,NO,YES,4.747066,-1.629803,100.4413,0,0
Dash,YES,NO,11,109.9909,4,10.00007,NO,NO,YES,0.7433449,-4.008793,94.59664,0,0
Dash,YES,NO,12,114.2566,6,4.266658,YES,YES,YES,5.271473,-5.284989,71.24231,10.46333,10.46333
Dash,YES,NO,13,121.2771,1,7.02225,YES,YES,YES,-5.672452,-3.312784,65.31764,10.25782,20.72115
Dash,YES,NO,14,131.2746,5,10.00007,NO,NO,YES,-0.0341149,0.8974872,102.0414,0,20.72115
Dash,YES,NO,15,141.2722,4,10.00007,NO,NO,YES,2.247784,-1.289051,107.675,0,20.72115
Dash,YES,NO,16,151.2697,3,10.00007,NO,NO,YES,-3.430758,-5.559667,153.8295,0,20.72115
Dash,YES,NO,17,161.2673,4,10.00007,NO,NO,YES,5.129494,-4.826035,141.9143,0,20.72115
Dash,YES,NO,18,166.0106,5,4.744442,YES,YES,NO,5.829862,-2.471614,50.64079,12.84582,33.56698
Dash,YES,NO,19,168.9876,6,2.977774,YES,YES,NO,6.200677,-5.220953,26.57527,14.87272,48.4397
Dash,YES,NO,20,178.9852,1,10.00007,YES,NO,NO,-1.615392,-5.714201,111.108,0,48.4397
Dash,YES,NO,21,188.9828,2,10.00007,NO,NO,NO,-4.931482,-7.054343,103.2794,0,48.4397
Dash,YES,NO,22,198.9803,3,10.00007,NO,NO,NO,-8.810575,-3.07188,138.1364,0,48.4397
Dash,YES,NO,23,208.9779,4,10.00007,NO,NO,NO,10.15582,-2.986342,118.2087,0,48.4397
Dash,YES,NO,24,214.5321,1,5.555564,YES,YES,YES,-2.140794,-4.375488,61.02998,5.690673,54.13037
Dash,YES,NO,25,224.5296,2,10.00007,NO,NO,YES,-6.777073,-5.691752,119.468,0,54.13037
