Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Drew,YES,NO,1,9.600062,6,9.600062,YES,YES,YES,6.757242,-4.771722,103.0481,8.248201,8.248201
Drew,YES,NO,2,19.23325,5,9.633396,YES,YES,YES,7.442883,0.4112038,82.39673,8.984462,17.23266
Drew,YES,NO,3,26.5105,4,7.277809,YES,YES,YES,7.258098,5.012534,72.96779,10.22511,27.45777
Drew,YES,NO,4,34.23254,1,7.72226,YES,YES,YES,-5.864433,-4.924615,73.61376,8.869955,36.32772
Drew,YES,NO,5,38.36628,2,4.133323,YES,YES,YES,-11.45611,-2.985928,36.1613,12.17843,48.50616
Drew,YES,NO,6,48.36728,3,10.00007,NO,NO,NO,-1.817838,5.070189,97.58945,0,48.50616
Drew,YES,NO,7,58.36827,4,10.00007,NO,NO,NO,10.87094,0.968316,92.99202,0,48.50616
Drew,YES,NO,8,61.24633,5,2.877774,YES,YES,NO,7.798388,1.390869,34.17909,14.35285,62.85901
Drew,YES,NO,9,64.74642,6,3.499992,YES,YES,NO,7.538794,-3.926614,39.10809,14.03662,76.89563
Drew,YES,NO,10,68.1567,1,3.411103,YES,YES,NO,-2.580301,-6.167253,42.35326,14.15903,91.05466
Drew,YES,NO,11,72.57784,2,4.422215,YES,YES,NO,-10.39867,-0.9504419,39.00877,13.38424,104.4389
Drew,YES,NO,12,82.5754,3,10.00007,NO,NO,NO,-4.93956,-3.148767,86.24284,0,104.4389
Drew,YES,NO,13,87.77413,4,5.200004,YES,YES,NO,8.868443,2.902958,64.48669,12.43371,116.8726
Drew,YES,NO,14,91.89535,5,4.122211,YES,YES,NO,7.230067,0.3032662,42.4972,13.58769,130.4603
Drew,YES,NO,15,97.82723,6,5.933347,YES,YES,NO,8.461162,-4.111416,68.68829,8.929121,139.3894
Drew,YES,NO,16,100.4377,1,2.61111,YES,YES,NO,-0.6497633,-4.83884,36.69583,9.079097,148.4685
Drew,YES,NO,17,105.1032,2,4.666663,YES,YES,NO,-8.642814,-1.069661,39.78485,9.851427,158.32
Drew,YES,NO,18,107.3582,3,2.255557,YES,YES,NO,-6.998031,2.099183,29.54684,13.33101,171.651
Drew,YES,NO,19,117.3558,4,10.00007,NO,NO,NO,8.341394,0.8572326,110.8178,0,171.651
Drew,YES,NO,20,120.0551,5,2.699998,YES,YES,NO,7.064854,-0.6107524,33.31681,13.73851,185.3895
Drew,YES,NO,21,122.4879,6,2.433334,YES,YES,NO,5.603804,-3.799157,26.64596,14.49183,199.8813
Drew,YES,NO,22,125.0317,1,2.544444,YES,YES,NO,-3.9939,-6.751497,38.2773,13.00325,212.8846
Drew,YES,NO,23,126.6424,2,1.611114,YES,YES,NO,-8.687579,-2.207482,11.8916,13.47629,226.3609
Drew,YES,NO,24,131.5746,3,4.933333,YES,YES,NO,-8.586119,2.289057,66.2615,12.58915,238.95
Drew,YES,NO,25,134.6849,4,3.111106,YES,YES,NO,11.01849,2.149006,46.30478,14.06022,253.0102
