Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Hannah2,NO,NO,1,4.433327,2,4.433327,YES,YES,NO,-4.960171,-2.124217,98.529,13.93148,13.93148
Hannah2,NO,NO,2,5.988903,3,1.555558,YES,YES,NO,-7.888391,0.9953303,46.37209,17.09593,31.02741
Hannah2,NO,NO,3,15.98904,4,10.00007,NO,NO,NO,6.780891,1.545369,178.5367,0,31.02741
Hannah2,NO,NO,4,18.7555,5,2.766664,YES,YES,NO,6.370187,-2.685758,51.01034,11.36354,42.39095
Hannah2,NO,NO,5,28.75478,6,10.00007,YES,NO,NO,6.595482,-4.7665,156.9693,0,42.39095
Hannah2,NO,NO,6,32.99908,1,4.244435,YES,YES,NO,-3.269964,-3.478665,83.32547,13.14574,55.5367
Hannah2,NO,NO,7,38.13293,2,5.133336,YES,YES,NO,-10.02074,-2.269434,102.925,11.421,66.9577
Hannah2,NO,NO,8,44.52245,3,6.388908,YES,YES,NO,-5.699225,-0.8201252,92.01704,11.4515,78.40921
Hannah2,NO,NO,9,54.52344,4,10.00007,NO,NO,NO,8.370549,1.603568,134.8944,0,78.40921
Hannah2,NO,NO,10,59.73507,5,5.211115,YES,YES,NO,5.84956,-1.656624,55.91753,12.88487,91.29408
Hannah2,NO,NO,11,65.45736,6,5.722233,YES,YES,NO,11.15187,-5.778267,68.15604,5.686662,96.98074
Hannah2,NO,NO,12,68.24557,1,2.788886,YES,YES,YES,-1.437699,-4.090065,52.07613,12.12481,109.1056
Hannah2,NO,NO,13,78.24313,5,10.00007,NO,NO,YES,13.98076,-2.748678,139.3111,0,109.1056
Hannah2,NO,NO,14,87.79635,1,9.555617,YES,YES,YES,-1.852807,-3.063352,118.1655,8.371523,117.4771
Hannah2,NO,NO,15,89.84029,2,2.044448,YES,YES,YES,-6.845641,-0.2793119,47.12514,14.08566,131.5627
Hannah2,NO,NO,16,93.03951,5,3.199994,YES,YES,YES,4.474101,-1.721524,60.60835,10.90153,142.4643
Hannah2,NO,NO,17,96.33871,3,3.299993,YES,YES,YES,-4.916388,2.401535,58.02129,14.07882,156.5431
Hannah2,NO,NO,18,104.2257,4,7.888928,YES,YES,YES,12.8099,0.9907086,155.4464,6.406155,162.9492
Hannah2,NO,NO,19,110.7019,1,6.477798,YES,YES,YES,-5.819226,-3.896741,117.2502,11.15014,174.0994
Hannah2,NO,NO,20,113.9455,6,3.244438,YES,YES,YES,10.83784,-6.610011,60.82785,11.18923,185.2886
Hannah2,NO,NO,21,119.9885,3,6.044459,YES,YES,YES,-5.769428,0.6359464,90.0497,12.03386,197.3225
Hannah2,NO,NO,22,127.2534,5,7.266698,YES,YES,YES,6.53899,-0.9416987,119.8941,7.517488,204.84
Hannah2,NO,NO,23,137.2509,1,10.00007,NO,NO,YES,-3.511269,-0.4397648,154.9248,0,204.84
Hannah2,NO,NO,24,141.1389,6,3.888877,YES,YES,YES,8.837164,-3.366568,73.81939,10.51678,215.3568
Hannah2,NO,NO,25,146.9153,5,5.777789,YES,YES,YES,3.141587,-1.364907,82.63739,8.026258,223.383
