Participant ID,Using right hand?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Accuracy Score,Time Score,Cumulative Accuracy Score,Cumulative Time Score,Cumulative Score,Reach Distance,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
Emily-1,NO,YES,1,10.00007,3,10.00007,NO,NO,YES,-7.118326,-0.608795,29.84391,0,6.771088E-05,-6.771088E-05,6.771088E-05,-6.771088E-05,0,0.4442151,0,9.988956,0.01111111,0,2.000027,0
Emily-1,NO,YES,2,19.99986,1,10.00007,NO,NO,YES,-6.216971,1.09909,97.88268,0,6.771088E-05,-6.771088E-05,0.0001354218,-0.0001354218,0,0.3912151,0.3888889,9.322281,0.2888889,0,1.733208,0.2777576
Emily-1,NO,YES,3,29.99913,2,10.00007,NO,NO,YES,-6.079672,2.069148,76.06625,0,6.771088E-05,-6.771088E-05,0.0002031326,-0.0002031326,0,0.5274043,0,9.166723,0.8333342,0,2.010965,0
Emily-1,NO,YES,4,39.99978,1,10.00007,NO,NO,YES,-3.458491,0.2453228,97.86581,0,6.771088E-05,-6.771088E-05,0.0002708435,-0.0002708435,0,0.3950026,0,8.855608,1.144446,0,1.644608,0.3555908
Emily-1,NO,YES,5,43.06675,2,3.066662,YES,YES,YES,-9.700434,-0.1140064,25.52202,14.91637,7.983034,6.933338,7.983305,6.933067,14.91637,0.5932317,0.4444444,2.033337,0.5888891,0.4444885,0.9667625,0.5889473
Emily-1,NO,YES,6,53.06774,3,10.00007,NO,NO,YES,-9.892139,2.640441,99.29041,0,6.771088E-05,-6.771088E-05,7.983373,6.933,14.91637,0.7922021,0.7666674,8.222266,1.011112,0.3333664,1.666832,0
Emily-1,NO,YES,7,57.06814,2,3.999988,YES,YES,YES,-8.766532,0.8122262,36.94854,9.060909,3.060897,6.000012,11.04427,12.93301,23.97728,0.7013906,0.3111111,3.688879,0,0.3000298,1.700169,0
Emily-1,NO,YES,8,67.06808,5,10.00007,NO,NO,YES,3.273353,-1.272781,81.4351,0,6.771088E-05,-6.771088E-05,11.04434,12.93294,23.97728,0.6392949,0.08888889,9.322281,0.5888891,0,2.01062,0
Emily-1,NO,YES,9,77.06564,4,10.00007,YES,NO,YES,5.053956,0.9808067,61.74663,0,6.771088E-05,-6.771088E-05,11.0444,12.93288,23.97728,0.9379122,1.977782,8.011152,0.01111111,1.299683,0.7109375,0
Emily-1,NO,YES,10,87.06319,1,10.00007,NO,NO,YES,-10.1701,2.062935,81.93991,0,6.771088E-05,-6.771088E-05,11.04447,12.93281,23.97728,0.4664039,0,9.922289,0.07777778,0,1.932861,0.07775879
Emily-1,NO,YES,11,92.02865,4,4.966667,YES,YES,YES,4.246819,0.6368667,43.83931,6.989126,1.955793,5.033333,13.00027,17.96614,30.96641,0.8274025,0.2333333,3.344437,1.388891,0.222168,1.788452,0
Emily-1,NO,YES,12,102.0262,5,10.00007,NO,NO,NO,3.860229,-1.907618,62.73945,0,6.771088E-05,-6.771088E-05,13.00033,17.96607,30.96641,0.7356943,0,10.00007,0,0,2.01062,0
Emily-1,NO,YES,13,112.0238,6,10.00007,NO,NO,NO,0.711623,1.545463,83.43669,0,6.771088E-05,-6.771088E-05,13.0004,17.966,30.96641,0.4702159,0.3888889,8.822274,0.7888896,0,1.444092,0.5665283
Emily-1,NO,YES,14,122.0213,1,10.00007,NO,NO,NO,-9.980938,2.348768,106.0575,0,6.771088E-05,-6.771088E-05,13.00047,17.96593,30.96641,0.4275446,0,9.944511,0.05555556,0,1.955078,0.05554199
Emily-1,NO,YES,15,132.0189,2,10.00007,NO,NO,NO,-8.927649,2.114076,118.9223,0,6.771088E-05,-6.771088E-05,13.00054,17.96587,30.96641,0.6225189,0.5888891,9.100056,0.3111111,0,1.921753,0.08886719
