Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
1,NO,YES,1,3.711101,2,3.711101,YES,YES,YES,-7.567913,2.177771,34.12948,11.53935,11.53935,0.7777785,2.000004,0.9333345,0.7777715,1.011106,0.2222204
1,NO,YES,2,6.40002,6,2.688887,YES,YES,YES,5.080376,-4.482654,44.42473,9.258747,20.79809,0.4,0.6777782,1.611114,0.4000053,0.6777868,0.9222345
1,NO,YES,3,8.777829,3,2.377779,YES,YES,YES,-6.726744,3.913141,31.44301,14.91487,35.71296,0.5,0.8777788,1.000001,0.5000067,0.8777895,0.6222305
1,NO,YES,4,13.90012,2,5.122225,YES,YES,YES,-9.737568,1.917175,52.24848,11.3367,47.04967,2.38889,2.733331,0,1.900025,0.1000013,0
1,NO,YES,5,23.89957,1,10.00007,NO,NO,YES,1.703073,-3.771232,132.9998,0,47.04967,3.299993,6.688912,0.01111111,0.6110668,1.399899,0
1,NO,YES,6,29.2103,2,5.311116,YES,YES,YES,-8.34967,1.889199,67.77398,11.31472,58.36439,2.17778,3.022218,0.1111111,0.9777069,1.033258,0
1,NO,YES,7,39.21081,3,10.00007,NO,NO,YES,1.010163,1.027785,85.77062,0,58.36439,1.211113,8.78894,0,0,2.000198,0
1,NO,YES,8,41.72217,5,2.511111,YES,YES,YES,6.895676,1.223508,27.84038,13.68744,72.05183,0.3666667,2.133336,0.01111111,0.1111221,1.889076,0
1,NO,YES,9,43.15565,4,1.433336,YES,YES,YES,8.778565,2.032074,20.16631,12.91628,84.96811,1.211113,0.2111111,0.01111111,1.211231,0.211132,0.01111221
1,NO,YES,10,49.10068,6,5.944458,YES,YES,YES,8.983194,-2.421809,98.81087,6.215325,91.18343,1.100002,4.255547,0.5888891,0.833416,0.7556305,0.4111519
