Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
Athena,NO,NO,1,6.055571,2,6.055571,YES,YES,NO,-8.225275,0.931586,45.12303,7.039867,7.039867,1.27778,0.9555568,3.822211,1.277795,0.7222319,0
Athena,NO,NO,2,11.43342,3,5.377784,YES,YES,NO,-6.033088,3.480939,70.97756,9.977846,17.01771,0.8666676,4.266658,0.2444444,0.1222239,1.644466,0.2333364
Athena,NO,NO,3,14.26679,4,2.83333,YES,YES,NO,7.84458,1.197105,37.108,11.15484,28.17256,0.2,1.122224,1.511114,0.2000027,1.122237,0.6777868
Athena,NO,NO,4,20.49982,5,6.233351,YES,YES,NO,6.773643,-2.773975,75.66869,11.21968,39.39223,1.622225,4.599996,0.01111111,0.3666401,1.644325,0
Athena,NO,NO,5,30.4991,6,10.00007,NO,NO,NO,1.253488,2.15768,171.5327,0,39.39223,0.8777788,7.833372,1.288891,0.03333092,1.688766,0.288868
Athena,NO,NO,6,40.49983,1,10.00007,NO,NO,NO,-15.33154,3.082961,232.9184,0,39.39223,0.1,4.477772,5.422229,0,1.066772,0.9334259
Athena,NO,NO,7,50.50082,2,10.00007,NO,NO,NO,-17.38811,2.859456,177.0995,0,39.39223,0.2222222,8.666717,1.111113,0,1.622383,0.3778152
Athena,NO,NO,8,60.50181,3,10.00007,NO,NO,NO,-14.13472,8.128803,115.8988,0,39.39223,0.2555556,5.488896,4.255547,0,1.166782,0.833416
Athena,NO,NO,9,64.02438,4,3.522214,YES,YES,NO,5.091855,6.260229,34.81259,13.83219,53.22443,0.01111111,1.455558,2.055559,0,1.455692,0.5444984
Athena,NO,NO,10,68.20113,5,4.177768,YES,YES,NO,4.278882,-0.4182111,84.24625,7.788214,61.01264,0.6666671,2.788886,0.7222228,0.4110107,1.277466,0.3221436
