Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
Cornell,NO,NO,1,10.00007,5,10.00007,NO,NO,YES,9.084365,-1.206751,62.88102,0,0,4.688886,5.300005,0.01111111,1.533354,0.4666729,0
Cornell,NO,NO,2,12.93344,3,2.93333,YES,YES,YES,-7.498627,0.3859442,28.58165,13.48912,13.48912,0.4444444,0.2666667,2.222224,0.4444504,0.2666702,1.288906
Cornell,NO,NO,3,17.46671,2,4.533328,YES,YES,YES,-6.900586,0.01066735,76.0994,9.265967,22.75509,1.711114,2.544444,0.2777778,0.6999636,1.311048,0
Cornell,NO,NO,4,20.9109,5,3.444437,YES,YES,YES,3.34015,-0.7669389,38.45971,13.57306,36.32815,1.077779,1.611114,0.7555562,1.0777,0.9332657,0
Cornell,NO,NO,5,27.38821,1,6.477798,YES,YES,YES,-0.5977271,-5.057884,124.4821,8.422729,44.75088,0.5555557,5.144447,0.7777785,0.5555153,1.45545,0
Cornell,NO,NO,6,29.41029,5,2.022226,YES,YES,YES,5.884306,-1.895635,27.06553,9.493961,54.24484,1.044446,0.4444444,0.5333334,1.033258,0.4444122,0.5332947
Cornell,NO,NO,7,31.88788,3,2.477778,YES,YES,YES,-7.40029,-2.443808,27.62313,12.97106,67.2159,0.6666671,0.5,1.311113,0.655508,0.4999638,0.8554935
Cornell,NO,NO,8,38.58853,4,6.700024,YES,YES,YES,9.56985,-2.214176,94.12218,8.905741,76.12164,1.466669,3.04444,2.188891,0.6556206,1.344578,0
Cornell,NO,NO,9,47.34495,3,8.755607,YES,YES,YES,-5.142436,0.8736823,150.3856,5.417869,81.53951,1.755559,5.355561,1.644447,0.9667625,1.033436,0
Cornell,NO,NO,10,53.83448,1,6.48891,YES,YES,YES,-3.130629,-6.555976,105.5811,12.20437,93.74389,1.211113,3.611102,1.66667,0.5333862,1.200119,0.2666931
