Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
1,YES,YES,1,6.633356,6,6.633356,YES,YES,YES,9.888696,-2.265667,90.6381,8.644393,8.644393,0.4777778,3.388881,2.766664,0.4777842,1.522243,0
1,YES,YES,2,13.01122,4,6.377797,YES,YES,YES,9.596222,4.162181,73.72106,10.26973,18.91412,1.255558,3.288882,1.833337,0.9777908,1.022236,0
1,YES,YES,3,23.01075,5,10.00007,NO,NO,YES,11.68965,-2.112887,140.2296,0,18.91412,1.911115,5.866679,2.222224,0.1777649,1.8332,0
1,YES,YES,4,25.49946,1,2.488889,YES,YES,YES,-4.140051,-2.491385,42.71959,14.05537,32.9695,0.2,1.888893,0.4,0.1999855,1.81098,0
1,YES,YES,5,28.4548,4,2.955552,YES,YES,YES,10.75478,0.1900443,41.72082,10.53358,43.50308,0.4888889,0.2222222,2.244446,0.4777431,0.2222061,1.311016
1,YES,YES,6,38.45518,5,10.00007,NO,NO,YES,14.53892,0.3014814,193.7087,0,43.50308,0.8777788,7.855595,1.266669,0.1777954,1.477924,0.3444786
1,YES,YES,7,40.77763,2,2.322223,YES,YES,YES,-11.29702,2.561264,36.87985,15.07303,58.57611,0.4666667,0.1888889,1.66667,0.466713,0.1889076,1.344578
1,YES,YES,8,44.76692,1,3.988877,YES,YES,YES,-5.995248,-3.752865,32.96227,11.20185,69.77795,2.866663,1.122224,0,2.000198,0,0
1,YES,YES,9,47.92279,6,3.15555,YES,YES,YES,9.737482,-3.750553,34.84653,16.29903,86.07699,0.2444444,0.8333342,2.077781,0.2333565,0.833416,0.9334259
1,YES,YES,10,52.63437,4,4.711108,YES,YES,YES,12.23777,5.426534,59.61926,7.524831,93.60182,0.6666671,1.800003,2.244446,0.5556107,0.311142,1.133446
1,YES,YES,11,55.50132,3,2.866663,YES,YES,YES,-4.314021,0.9154651,57.63641,10.63964,104.2415,0.1,1.000001,1.76667,0.1000099,1.000099,0.9000893
1,YES,YES,12,58.45716,4,2.955552,YES,YES,NO,10.90207,4.680287,44.42449,12.70589,116.9474,0.4111111,0.1444445,2.400001,0.4000397,0.1444588,1.4557
1,YES,YES,13,68.45663,5,10.00007,NO,NO,NO,14.56663,1.189935,156.5284,0,116.9474,2.188891,6.988916,0.8222231,0.1444092,1.755127,0.111084
1,YES,YES,14,72.70004,6,4.244435,YES,YES,NO,9.078218,-6.940449,77.51949,11.682,128.6294,1.188891,2.977774,0.07777778,0.3110352,1.699585,0
1,YES,YES,15,75.91036,1,3.211105,YES,YES,NO,-5.057499,-6.138817,51.86236,15.80021,144.4296,0.7666674,1.533336,0.9111122,0.7553711,1.255249,0
1,YES,YES,16,79.63168,2,3.722212,YES,YES,NO,-9.038014,-0.0968029,54.00705,10.95836,155.3879,1.300002,2.422223,0,0.7109375,1.299683,0
1,YES,YES,17,83.24191,3,3.611102,YES,YES,NO,-6.384512,4.315119,43.28246,11.63334,167.0213,1.233335,2.377779,0,0.5554199,1.4552,0
1,YES,YES,18,87.61861,6,4.37777,YES,YES,YES,10.53506,-2.452647,64.79816,11.39138,178.4127,0.4777778,2.055559,1.844448,0.4665527,1.544067,0
1,YES,YES,19,92.55074,4,4.933333,YES,YES,YES,12.74018,3.442243,59.42169,9.031693,187.4444,1.388891,0.6000003,2.944441,0.7998047,0.2888184,0.9219971
1,YES,YES,20,95.36117,1,2.811108,YES,YES,YES,-0.8679529,-3.72257,53.95544,10.52683,197.9712,0.3555556,1.466669,0.9888902,0.3443604,1.466309,0.1999512
1,YES,YES,21,105.3587,5,10.00007,NO,NO,YES,3.256685,-3.676773,187.5885,0,197.9712,0.9444456,6.044459,3.011107,0.08886719,1.133057,0.7886963
1,YES,YES,22,108.1914,1,2.83333,YES,YES,YES,-0.1446095,-1.96979,64.56705,14.46305,212.4342,0.4333333,1.08889,1.311113,0.4221191,0.9108887,0.6776123
1,YES,YES,23,113.1901,6,5.000001,YES,YES,YES,8.470338,-2.06562,84.36143,9.635897,222.0701,0.3888889,2.300001,2.311112,0.3776855,1.488525,0.1444092
1,YES,YES,24,116.8337,2,3.644435,YES,YES,YES,-7.506731,-0.4445825,72.36806,10.85997,232.9301,0.4666667,0.8555565,2.322223,0.4554443,0.8553467,0.6998291
1,YES,YES,25,122.3213,6,5.488896,YES,YES,YES,9.78181,-3.77077,71.03316,8.656504,241.5866,0.3777778,2.844441,2.266668,0.3665771,1.033081,0.6109619
1,YES,YES,25,122.3213,6,0,YES,YES,YES,9.78181,-3.77077,0,16.17037,257.757,0,0,0,0,0,0
