Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Drew-3,YES,NO,1,6.811136,4,6.811136,YES,YES,YES,11.81191,0.7116607,81.4822,7.569005,7.569005
Drew-3,YES,NO,2,11.05564,5,4.244435,YES,YES,YES,5.488382,-0.5132594,64.75871,14.26086,21.82986
Drew-3,YES,NO,3,15.81126,2,4.755553,YES,YES,YES,-10.32918,-1.189387,68.38739,5.604849,27.43471
Drew-3,YES,NO,4,19.41101,5,3.599991,YES,YES,YES,3.160588,-0.4898458,60.50521,13.9372,41.37192
Drew-3,YES,NO,5,22.43301,6,3.022218,YES,YES,YES,8.74649,-8.805615,48.16557,15.15451,56.52643
Drew-3,YES,NO,6,26.92158,3,4.488883,YES,YES,YES,-7.87008,0.7122607,77.95265,11.12947,67.6559
Drew-3,YES,NO,7,29.72137,5,2.799997,YES,YES,YES,5.897958,2.205601,44.9944,14.12333,81.77923
Drew-3,YES,NO,8,31.98788,2,2.266668,YES,YES,YES,-10.40164,1.397161,38.06565,12.07758,93.8568
Drew-3,YES,NO,9,34.13253,1,2.144447,YES,YES,YES,-5.902904,-9.397839,33.33168,10.59318,104.45
Drew-3,YES,NO,10,36.29941,3,2.166669,YES,YES,YES,-7.576372,1.457127,27.45807,11.95421,116.4042
Drew-3,YES,NO,11,42.25556,4,5.955569,YES,YES,YES,10.74106,1.027462,85.39151,8.22792,124.6321
Drew-3,YES,NO,12,45.72257,5,3.466659,YES,YES,NO,6.731123,1.216167,51.32048,11.37968,136.0118
Drew-3,YES,NO,13,49.2118,6,3.488881,YES,YES,NO,7.103645,-6.56848,43.30824,10.01526,146.0271
Drew-3,YES,NO,14,51.98986,1,2.777775,YES,YES,NO,-0.6481544,-5.906625,48.02954,13.5779,159.6049
Drew-3,YES,NO,15,61.99085,2,10.00007,NO,NO,NO,-9.064062,-1.801688,134.8091,0,159.6049
Drew-3,YES,NO,16,65.56844,3,3.577769,YES,YES,NO,-5.85612,1.958403,43.02686,8.299418,167.9044
Drew-3,YES,NO,17,68.8232,4,3.255549,YES,YES,NO,9.740057,1.566347,38.43561,12.03835,179.9427
Drew-3,YES,NO,18,71.54476,5,2.72222,YES,YES,YES,7.073565,0.2841667,35.90275,13.98615,193.9289
Drew-3,YES,NO,19,73.69979,4,2.155558,YES,YES,YES,10.8003,2.564133,29.42817,9.164934,203.0938
Drew-3,YES,NO,20,76.36581,1,2.666665,YES,YES,YES,-2.797413,-9.011378,41.94543,10.27746,213.3713
Drew-3,YES,NO,21,80.62032,4,4.255547,YES,YES,YES,9.625326,0.2528127,56.52399,10.67393,224.0452
Drew-3,YES,NO,22,87.95187,2,7.333365,YES,YES,YES,-11.60285,-2.878546,83.53062,4.985534,229.0307
Drew-3,YES,NO,23,89.5848,3,1.633336,YES,YES,YES,-7.894399,0.9919412,25.87671,9.632337,238.6631
Drew-3,YES,NO,24,92.98397,4,3.399992,YES,YES,NO,10.53556,0.404978,44.69788,14.63894,253.302
Drew-3,YES,NO,25,102.9815,5,10.00007,NO,NO,NO,11.6404,0.8756185,126.0343,0,253.302
