Participant ID,Trial Number,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
Johanna2,1,0.4777842,1.522243,0
Johanna2,2,1.433352,0.5666742,0
Johanna2,3,1.866531,0.144434,0
Johanna2,4,1.477671,0.5332947,0
Johanna2,5,0,2.000198,0
Johanna2,6,0.3778152,0.8667526,0.7556305
Johanna2,7,0.7222939,0.7111816,0.5667229
Johanna2,8,0,2.000198,0
Johanna2,9,0.6111717,1.389027,0
Johanna2,10,1.044189,0.7442627,0.222168
Johanna2,11,1.721802,0.2888184,0
Johanna2,12,1.655151,0.3554688,0
Johanna2,13,0.06665039,1.199707,0.7442627
Johanna2,14,0.8886719,0.6220703,0.4998779
Johanna2,15,0,1.299683,0.7109375
Johanna2,16,0.8997803,0.5998535,0.5109863
Johanna2,17,0.333252,1.677368,0
Johanna2,18,0.2888184,1.721802,0
Johanna2,19,0.5554199,1.4552,0
Johanna2,20,0.8664551,1.021973,0.1221924
Johanna2,21,0.1444092,1.866211,0
Johanna2,22,0.4665527,1.121948,0.4221191
Johanna2,23,0.4776688,1.532959,0
Johanna2,24,0.333252,1.521851,0.1555176
Johanna2,25,0,1.499634,0.5109863
