Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
MurrayWow,NO,NO,1,10.00007,2,10.00007,NO,NO,YES,6.169039,4.616395,87.41496,0,0,0,0,10.00007,0,0,2.000027
MurrayWow,NO,NO,2,19.99986,5,10.00007,NO,NO,YES,-2.64485,1.391482,62.15699,0,0,0.6666671,9.322281,0.01111111,0,2.010965,0
MurrayWow,NO,NO,3,29.99913,4,10.00007,NO,NO,YES,-1.787096,1.184219,20.31436,0,0,0,0,10.00007,0,0,2.010965
MurrayWow,NO,NO,4,39.8331,3,9.833399,YES,YES,YES,-10.42476,5.174932,102.7871,4.500991,4.500991,0.2555556,6.733357,2.844441,0.2555809,1.133446,0.6111717
MurrayWow,NO,NO,5,49.83409,1,10.00007,NO,NO,YES,-7.762103,-5.50909,164.2775,0,4.500991,0,5.122225,4.877777,0,1.000099,1.000099
MurrayWow,NO,NO,6,52.93439,3,3.099995,YES,YES,YES,-7.537585,3.689214,61.24887,10.8307,15.33169,1.133335,1.900004,0.06666667,0.5444984,1.4557,0
MurrayWow,NO,NO,7,59.71284,4,6.777802,YES,YES,YES,11.11823,4.434045,97.68668,8.844938,24.17662,0.8222231,3.455548,2.5,0.4889374,0.6111717,0.9000893
MurrayWow,NO,NO,8,66.63485,6,6.922249,YES,YES,YES,7.706413,-6.021526,141.0944,12.76966,36.94628,0.3555556,3.211105,3.355548,0.3554688,1.11084,0.5443115
MurrayWow,NO,NO,9,69.3453,3,2.711109,YES,YES,YES,-6.976826,2.055001,46.79938,12.65767,49.60395,0.2333333,0.9444456,1.533336,0.222168,0.9442139,0.8442383
MurrayWow,NO,NO,10,76.32137,1,6.977805,YES,YES,YES,-3.622054,-4.701149,160.2254,7.447565,57.05151,0.977779,3.977766,2.022226,0.7442627,0.9108887,0.3554688
MurrayWow,NO,NO,11,83.30856,2,6.988916,YES,YES,YES,-10.71982,0.8920584,141.1281,5.646811,62.69833,1.388891,5.144447,0.4555556,0.8775635,1.133057,0
MurrayWow,NO,NO,12,85.57467,1,2.266668,YES,YES,YES,-5.127928,-2.853019,36.43791,12.96393,75.66225,0.2666667,1.166668,0.8333342,0.2554932,1.088623,0.6665039
MurrayWow,NO,NO,13,89.04049,4,3.466659,YES,YES,YES,11.49544,4.393823,49.32926,6.861602,82.52386,0.3333333,0.3222222,2.811108,0.3221436,0.3221436,1.366333
MurrayWow,NO,NO,14,92.12862,1,3.088884,YES,YES,YES,-5.251953,-3.12858,56.4457,16.16597,98.68983,0.3222222,1.511114,1.255558,0.3110352,1.488525,0.2110596
MurrayWow,NO,NO,15,96.66085,5,4.533328,YES,YES,YES,5.616649,-2.921795,72.32602,9.524849,108.2147,0.4555556,2.577777,1.500003,0.3221436,1.688477,0
MurrayWow,NO,NO,16,104.3256,1,7.666703,YES,YES,YES,-3.335598,-5.418594,169.753,4.161908,112.3766,1.855559,3.099995,2.711109,1.510742,0.4998779,0
MurrayWow,NO,NO,17,109.2689,6,4.944445,YES,YES,YES,9.112009,-3.984424,77.22201,9.524525,121.9011,0.4111111,1.788892,2.744442,0.3999023,1.38855,0.222168
MurrayWow,NO,NO,18,116.7671,1,7.500034,YES,YES,YES,-4.879987,-2.931766,107.1207,9.136386,131.0375,0.2444444,4.255547,2.999996,0.2332764,1.121948,0.6553955
MurrayWow,NO,NO,19,121.477,4,4.711108,YES,YES,YES,11.55447,5.781039,60.45755,11.48316,142.5206,0.8333342,0.6666671,3.211105,0.8220215,0.6665039,0.5220947
MurrayWow,NO,NO,20,125.3761,2,3.899988,YES,YES,YES,-8.968535,-1.072723,64.42812,12.0218,154.5424,0.6111114,1.86667,1.422225,0.5220947,1.488525,0
MurrayWow,NO,NO,21,128.8641,3,3.488881,YES,YES,YES,-9.835986,7.420716,54.61451,14.84756,169.39,1.533336,1.688892,0.2666667,1.188599,0.5554276,0.2666016
MurrayWow,NO,NO,22,138.8617,6,10.00007,NO,NO,YES,5.990378,3.298325,147.2874,0,169.39,0.6444448,4.166656,5.188892,0.2443848,1.11084,0.6553955
MurrayWow,NO,NO,23,141.6054,2,2.744442,YES,YES,YES,-10.87852,-0.2548686,50.07751,13.1084,182.4984,0.6000003,0.3222222,1.822226,0.5887451,0.3221436,1.099731
MurrayWow,NO,NO,24,147.8706,3,6.266685,YES,YES,NO,-8.263634,4.748681,73.07726,9.73033,192.2287,0.8111119,5.211115,0.2444444,0.6109619,1.399658,0
MurrayWow,NO,NO,25,152.1917,4,4.322214,YES,YES,NO,10.36644,5.765155,53.98052,7.217701,199.4464,1.011112,1.166668,2.144447,0.9997559,1.010864,0
