Participant ID,Trial Number,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
TJ,1,0,0,2.000027
TJ,2,0.2333164,1.144361,0.6332874
TJ,3,2.010965,0,0
TJ,4,0.6332874,0.9332657,0.4444122
TJ,5,0,2.000198,0
TJ,6,0.6889572,1.311241,0
TJ,7,0.5444984,1.4557,0
TJ,8,0.7000694,1.300129,0
TJ,9,1.277905,0.7222939,0
TJ,10,0.111084,1.899536,0
TJ,11,0.8331299,1.17749,0
TJ,12,0.3999023,0.9331055,0.6776123
TJ,13,0.4332275,1.010864,0.5665283
TJ,14,0.3887939,1.333008,0.2888184
TJ,15,0.6553955,1.244141,0.111084
TJ,16,0.5220947,1.488525,0
TJ,17,0.333252,1.555176,0.1221924
TJ,18,0.5887451,1.166382,0.2554932
TJ,19,0.4776611,0.5332031,0.9997559
TJ,20,0.5665283,1.410767,0.0333252
TJ,21,2.01062,0,0
TJ,22,0.0222168,1.988403,0
TJ,23,0,2.01062,0
TJ,24,1.73291,0.27771,0
TJ,25,0.166626,1.377441,0.4665527
