Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
Rama,YES,NO,1,10.00007,2,10.00007,NO,NO,NO,1.163196,-2.289891,35.24821,0,0,0,0,10.00007,0,0,2.000027
Rama,YES,NO,2,19.99986,3,10.00007,NO,NO,NO,1.295892,-0.553308,85.6095,0,0,0,5.744455,4.255547,0,0.799942,1.211023
Rama,YES,NO,3,29.99913,4,10.00007,NO,NO,NO,9.459057,1.834768,213.8636,0,0,0.2888889,4.544439,5.16667,0.1888752,1.233244,0.5888462
Rama,YES,NO,4,39.99978,5,10.00007,NO,NO,NO,8.238644,1.17672,84.33921,0,0,1.288891,8.188932,0.5222223,0,2.000198,0
Rama,YES,NO,5,50.00077,6,10.00007,NO,NO,NO,16.05503,-3.250794,183.6284,0,0,0.05555556,6.222239,3.722212,0,1.222343,0.7778549
Rama,YES,NO,6,59.70173,1,9.700064,YES,YES,NO,-2.360591,-4.95997,131.5487,6.957203,6.957203,3.311104,5.644454,0.7444451,2.000198,0,0
Rama,YES,NO,7,68.4233,2,8.722273,YES,YES,NO,-8.761756,-1.218974,126.32,3.661714,10.61892,2.888885,3.244438,2.588888,2.01062,0,0
Rama,YES,NO,8,78.42086,3,10.00007,NO,NO,NO,-2.508021,-3.413558,103.3424,0,10.61892,0,3.733323,6.266685,0,0,2.01062
Rama,YES,NO,9,88.41842,4,10.00007,NO,NO,NO,0.6868515,-0.4948437,226.9399,0,10.61892,0,1.577781,8.422269,0,0.4554443,1.555176
Rama,YES,NO,10,94.03927,5,5.622231,YES,YES,NO,5.943426,0.981323,73.84676,8.049799,18.66872,2.555555,3.066662,0,0.9886475,1.021973,0
Rama,YES,NO,11,104.0368,6,10.00007,NO,NO,NO,9.723239,-3.354634,152.7475,0,18.66872,1.011112,5.533341,3.455548,0.8997803,1.11084,0
Rama,YES,NO,12,114.0344,1,10.00007,NO,NO,YES,-6.020894,-3.590585,108.1048,0,18.66872,2.922219,5.688899,1.388891,1.277466,0.7331543,0
Rama,YES,NO,13,124.0319,6,10.00007,NO,NO,YES,0.8647741,-4.235238,138.7996,0,18.66872,0.1444445,3.877766,5.977792,0,0.8553467,1.155273
Rama,YES,NO,14,134.0295,5,10.00007,NO,NO,YES,12.53944,-0.2757967,121.5838,0,18.66872,2.277779,7.655592,0.06666667,0,2.01062,0
Rama,YES,NO,15,144.0271,6,10.00007,YES,NO,YES,8.265208,-4.079342,141.6113,0,18.66872,0.6777782,7.144474,2.17778,0.4332275,1.577393,0
Rama,YES,NO,16,149.2702,1,5.244449,YES,YES,YES,-5.499322,-4.738909,60.28069,9.657412,28.32613,1.844448,0.9888902,2.411112,1.843994,0.166626,0
Rama,YES,NO,17,159.2678,2,10.00007,YES,NO,YES,-7.95239,-1.364124,103.3361,0,28.32613,2.544444,5.555564,1.900004,1.277466,0.7331543,0
Rama,YES,NO,18,169.2654,3,10.00007,NO,NO,NO,8.489305,-0.5169135,164.1459,0,28.32613,0.1,1.844448,8.055597,0.09997559,1.033081,0.8775635
Rama,YES,NO,19,179.2629,4,10.00007,NO,NO,NO,3.673254,1.919853,165.3685,0,28.32613,0,3.133328,6.866693,0,1.033081,0.9775391
Rama,YES,NO,20,189.2605,5,10.00007,NO,NO,NO,-3.916815,-4.032695,214.0978,0,28.32613,1.577781,6.477798,1.944448,0.2888184,1.721802,0
Rama,YES,NO,21,199.258,6,10.00007,NO,NO,NO,-3.16495,-0.264275,157.5694,0,28.32613,1.188891,4.855555,3.955544,0,0.7109375,1.299683
Rama,YES,NO,22,208.3669,1,9.111167,YES,YES,NO,-4.889338,-3.719289,106.3657,7.932014,36.25814,1.933337,5.033335,2.144447,0.6665039,1.344116,0
Rama,YES,NO,23,218.3645,2,10.00007,NO,NO,NO,-5.060803,0.4093232,148.3186,0,36.25814,1.233335,4.322214,4.444438,0.9553223,0.8442383,0.2110596
Rama,YES,NO,24,228.362,6,10.00007,NO,NO,YES,0.9169689,-2.620734,191.6566,0,36.25814,0,4.02221,5.977792,0,0.5776367,1.432983
Rama,YES,NO,25,238.3596,3,10.00007,NO,NO,YES,3.74257,-0.3333565,117.061,0,36.25814,0,5.211115,4.788887,0,1.610718,0.3999023
