Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
WinstonApr17,YES,NO,1,6.75558,4,6.75558,YES,YES,YES,16.93717,8.096324,48.64703,9.401283,9.401283,0.04444445,0.9333345,5.777789,0.04444504,0.9333458,1.022236
WinstonApr17,YES,NO,2,15.68903,5,8.933387,YES,YES,YES,6.795607,1.021599,123.0617,10.41267,19.81396,0.7111117,3.833322,4.388882,0.7111206,1.000013,0.2888927
WinstonApr17,YES,NO,3,25.68833,3,10.00007,YES,NO,YES,-6.821825,6.406413,104.332,0,19.81396,0.1666667,5.300005,4.533328,0.144434,1.188803,0.6777287
WinstonApr17,YES,NO,4,35.68824,6,10.00007,YES,NO,YES,10.7162,-4.620708,123.0113,0,19.81396,1.066668,5.177781,3.755545,0.8111916,1.189007,0
WinstonApr17,YES,NO,5,43.34455,4,7.655592,YES,YES,YES,14.39538,5.55515,84.62419,10.93484,30.74879,0.3555556,3.344437,3.955544,0,0.466713,1.533485
WinstonApr17,YES,NO,6,48.0228,2,4.677774,YES,YES,YES,-11.8495,0.4727198,87.49332,10.1014,40.85019,0.1777778,1.988893,2.511111,0,1.35569,0.6445084
WinstonApr17,YES,NO,7,51.00087,1,2.977774,YES,YES,YES,-3.721637,-7.424549,56.07992,12.39667,53.24685,0.4333333,1.655559,0.8888899,0.4333763,0.9445381,0.6222839
WinstonApr17,YES,NO,8,56.10138,3,5.100002,YES,YES,YES,-10.55034,6.233347,56.19681,10.21493,63.46178,0.4,3.244438,1.455558,0.3889275,0.7556305,0.8556404
WinstonApr17,YES,NO,9,59.79063,4,3.688879,YES,YES,YES,16.34164,5.438192,44.88918,15.60314,79.06493,0.08888889,1.322224,2.277779,0.07778549,1.322353,0.6000595
WinstonApr17,YES,NO,10,69.78963,3,10.00007,NO,NO,YES,-10.30284,1.707045,72.9882,0,79.06493,0.01111111,6.822248,3.166661,0,2.01062,0
WinstonApr17,YES,NO,11,79.78719,2,10.00007,NO,NO,YES,-3.547027,-1.227838,28.31971,0,79.06493,0.01111111,8.388935,1.600003,0,0.4110107,1.599609
WinstonApr17,YES,NO,12,89.78475,3,10.00007,NO,NO,YES,-3.315443,-1.841945,26.21276,0,79.06493,0,7.144474,2.855552,0,0,2.01062
WinstonApr17,YES,NO,13,99.78231,6,10.00007,NO,NO,YES,-0.6269113,-1.703042,31.44342,0,79.06493,0.01111111,0,9.988956,0,0,2.01062
WinstonApr17,YES,NO,14,109.4911,2,9.711175,YES,YES,YES,-11.89859,0.9103457,35.64973,8.877,87.94193,0.4666667,5.044446,4.19999,0.4665527,1.544067,0
WinstonApr17,YES,NO,15,119.4886,4,10.00007,NO,NO,YES,3.087538,0.7648326,82.44881,0,87.94193,0.01111111,0,9.988956,0,0,2.01062
WinstonApr17,YES,NO,16,129.4862,5,10.00007,YES,NO,YES,7.544524,0.4012999,39.31538,0,87.94193,9.722286,0.2777778,0,2.010628,0,0
WinstonApr17,YES,NO,17,139.4837,3,10.00007,NO,NO,YES,-10.42932,-1.20687,53.26119,0,87.94193,0,6.40002,3.599991,0,1.721802,0.2888184
WinstonApr17,YES,NO,18,149.4813,1,10.00007,NO,NO,YES,-2.836421,-0.7546196,69.40796,0,87.94193,0.01111111,9.31117,0.6777782,0,2.01062,0
WinstonApr17,YES,NO,19,159.4789,2,10.00007,NO,NO,YES,-8.560561,-0.8309296,23.75856,0,87.94193,0.01111111,1.588892,8.400046,0,1.588501,0.4221191
WinstonApr17,YES,NO,20,169.4764,6,10.00007,NO,NO,YES,-5.202014,-0.8460106,46.53955,0,87.94193,0,0,10.00007,0,0,2.01062
WinstonApr17,YES,NO,21,179.474,4,10.00007,NO,NO,YES,-5.356607,-1.395001,26.64099,0,87.94193,0,0,10.00007,0,0,2.01062
WinstonApr17,YES,NO,22,189.4715,3,10.00007,NO,NO,YES,-2.70242,-0.5582997,25.45216,0,87.94193,0,6.84447,3.15555,0,2.01062,0
WinstonApr17,YES,NO,23,191.7487,2,2.277779,YES,YES,YES,-12.11525,2.726171,22.71428,16.28948,104.2314,0,1.47778,0.8000008,0,1.466309,0.5443115
WinstonApr17,YES,NO,24,197.2918,3,5.544453,YES,YES,YES,-8.422646,5.924097,104.2792,12.90417,117.1356,0.6777782,2.566666,2.300001,0.4776611,0.7553711,0.7775879
WinstonApr17,YES,NO,25,207.2894,1,10.00007,NO,NO,YES,9.972272,0.3974429,131.3605,0,117.1356,0,5.177781,4.822221,0,1.066406,0.9442139
