Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Aaron,YES,NO,1,5.111114,5,5.111114,YES,YES,YES,3.209365,-2.751863,31.10678,9.598474,9.598474
Aaron,YES,NO,2,14.78902,1,9.677841,YES,YES,YES,-3.439099,-5.31439,77.35062,1.305475,10.90395
Aaron,YES,NO,3,24.7884,5,10.00007,NO,NO,YES,10.72519,-5.088421,104.1185,0,10.90395
Aaron,YES,NO,4,34.78815,3,10.00007,NO,NO,YES,-11.61883,0.8971024,93.83952,0,10.90395
Aaron,YES,NO,5,43.16676,5,8.377824,YES,YES,YES,7.634125,-0.4459947,123.7713,6.16936,17.07331
Aaron,YES,NO,6,45.48921,2,2.322223,YES,YES,YES,-12.36994,0.07500356,55.13393,9.716995,26.7903
Aaron,YES,NO,7,53.7567,1,8.266711,YES,YES,YES,-2.08302,-3.918649,168.0757,7.907375,34.69768
Aaron,YES,NO,8,55.54576,2,1.788892,YES,YES,YES,-6.648821,-1.252463,18.91472,16.30275,51.00042
Aaron,YES,NO,9,58.0349,5,2.488889,YES,YES,YES,3.574911,-2.948434,31.76342,15.1734,66.17382
Aaron,YES,NO,10,68.03451,3,10.00007,NO,NO,YES,-3.948324,-3.448231,172.7144,0,66.17382
Aaron,YES,NO,11,71.63363,1,3.599991,YES,YES,YES,-2.689166,-5.474786,65.16609,12.72099,78.89481
Aaron,YES,NO,12,81.63119,3,10.00007,NO,NO,YES,-10.476,2.722076,137.2728,0,78.89481
Aaron,YES,NO,13,86.44112,4,4.81111,YES,YES,YES,11.18814,2.527408,64.62631,5.638851,84.53366
Aaron,YES,NO,14,88.84054,2,2.400001,YES,YES,YES,-12.5289,-0.2693024,41.14198,13.40269,97.93635
Aaron,YES,NO,15,97.11629,6,8.277822,YES,YES,YES,9.8583,-5.534198,104.7114,5.241594,103.1779
Aaron,YES,NO,16,107.1139,3,10.00007,NO,NO,YES,-13.65218,0.4607671,185.722,0,103.1779
Aaron,YES,NO,17,108.2691,2,1.155557,YES,YES,YES,-7.925821,-2.295388,18.19612,12.51123,115.6892
Aaron,YES,NO,18,118.2667,3,10.00007,NO,NO,NO,-6.761753,0.7629406,170.1642,0,115.6892
Aaron,YES,NO,19,128.2643,4,10.00007,NO,NO,NO,10.39608,-2.354455,114.702,0,115.6892
Aaron,YES,NO,20,138.2618,5,10.00007,YES,NO,NO,4.6991,-2.37886,109.5177,0,115.6892
Aaron,YES,NO,21,141.9054,6,3.644435,YES,YES,NO,6.32539,-4.168686,16.59675,13.24379,128.933
Aaron,YES,NO,22,151.9029,1,10.00007,NO,NO,NO,-7.842919,-3.285472,149.6883,0,128.933
Aaron,YES,NO,23,161.9005,2,10.00007,NO,NO,NO,-6.405563,-1.844282,90.83624,0,128.933
Aaron,YES,NO,24,170.8872,1,8.988943,YES,YES,YES,-4.371499,-5.176914,124.9551,8.413488,137.3465
Aaron,YES,NO,25,180.8847,3,10.00007,NO,NO,YES,-6.388934,-7.062414,173.6624,0,137.3465
