Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Drew-2,YES,NO,1,3.722212,2,3.722212,YES,YES,NO,-9.013738,-1.33958,40.49065,10.34442,10.34442
Drew-2,YES,NO,2,9.688952,3,5.966681,YES,YES,NO,-5.128261,3.359664,60.83659,11.6319,21.97632
Drew-2,YES,NO,3,13.55567,4,3.866655,YES,YES,NO,7.702557,5.464673,45.95255,9.210684,31.187
Drew-2,YES,NO,4,16.82231,5,3.26666,YES,YES,NO,5.779211,1.684005,44.9456,11.8455,43.0325
Drew-2,YES,NO,5,19.23325,6,2.411112,YES,YES,NO,5.38698,-4.131328,32.71139,15.75488,58.78738
Drew-2,YES,NO,6,21.3442,1,2.111114,YES,YES,NO,-0.4410025,-4.494914,37.0052,13.06972,71.8571
Drew-2,YES,NO,7,24.18844,2,2.844441,YES,YES,NO,-9.171237,-1.86738,37.54767,16.13771,87.99481
Drew-2,YES,NO,8,26.58827,3,2.400001,YES,YES,NO,-5.762244,4.869312,24.18535,15.70152,103.6963
Drew-2,YES,NO,9,31.23238,4,4.644441,YES,YES,NO,8.475148,4.992718,54.27356,10.93302,114.6294
Drew-2,YES,NO,10,34.52146,5,3.288882,YES,YES,NO,6.771488,-0.2787479,41.20508,14.06764,128.697
Drew-2,YES,NO,11,39.39972,6,4.877777,YES,YES,NO,5.694654,-6.018504,53.70567,11.0058,139.7028
Drew-2,YES,NO,12,40.95543,1,1.555558,YES,YES,NO,-5.904882,-5.930296,22.37851,12.6859,152.3887
Drew-2,YES,NO,13,45.97815,2,5.022223,YES,YES,NO,-9.789169,1.041944,72.90768,12.94013,165.3288
Drew-2,YES,NO,14,49.03401,3,3.055551,YES,YES,NO,-6.126422,3.861249,39.44272,12.48192,177.8107
Drew-2,YES,NO,15,52.58992,4,3.555547,YES,YES,NO,7.88573,6.049256,36.6054,14.05876,191.8695
Drew-2,YES,NO,16,55.35686,5,2.766664,YES,YES,NO,6.200877,2.860029,37.19376,13.43433,205.3038
Drew-2,YES,NO,17,58.35715,6,2.999996,YES,YES,NO,7.936905,-6.115145,37.97017,14.69059,219.9944
Drew-2,YES,NO,18,60.55737,1,2.200002,YES,YES,NO,-0.05537391,-4.134914,32.98678,12.39703,232.3914
Drew-2,YES,NO,19,64.43539,2,3.877766,YES,YES,NO,-9.230137,-0.9562253,45.59682,12.02343,244.4149
Drew-2,YES,NO,20,66.75704,3,2.322223,YES,YES,NO,-7.835185,5.456463,29.4157,16.28685,260.7017
Drew-2,YES,NO,21,71.80025,4,5.044446,YES,YES,NO,9.456429,5.709219,68.02964,10.17624,270.878
Drew-2,YES,NO,22,75.36605,5,3.566658,YES,YES,NO,3.934542,1.295687,53.11649,12.48491,283.3629
Drew-2,YES,NO,23,79.45394,6,4.088878,YES,YES,NO,7.697563,-5.755003,47.87784,13.90032,297.2632
Drew-2,YES,NO,24,84.84151,4,5.388895,YES,YES,YES,8.179708,5.324228,75.27739,10.8746,308.1378
Drew-2,YES,NO,25,87.40755,3,2.566666,YES,YES,YES,-5.305296,4.675189,40.90271,13.3915,321.5293
