Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Hannah,NO,YES,1,3.577769,5,3.577769,YES,YES,YES,2.289693,-0.215529,19.68804,10.48544,10.48544
Hannah,NO,YES,2,13.57789,1,10.00007,NO,NO,YES,-10.44161,2.186361,92.50507,0,10.48544
Hannah,NO,YES,3,14.54457,2,0.9666679,YES,YES,YES,-9.474068,-0.3088258,15.14021,13.11483,23.60027
Hannah,NO,YES,4,24.54397,3,10.00007,NO,NO,YES,-20.59032,0.8947695,234.5417,0,23.60027
Hannah,NO,YES,5,27.68819,5,3.144439,YES,YES,YES,7.641075,0.600253,57.66682,14.29875,37.89902
Hannah,NO,YES,6,35.94382,6,8.2556,YES,YES,NO,6.821422,-4.703885,108.2225,7.009309,44.90833
Hannah,NO,YES,7,45.94481,1,10.00007,YES,NO,NO,-4.727962,-6.408693,241.4976,0,44.90833
Hannah,NO,YES,8,55.9458,2,10.00007,NO,NO,NO,-19.45683,3.540125,201.5999,0,44.90833
Hannah,NO,YES,9,65.94613,3,10.00007,NO,NO,NO,-8.18789,-5.015145,268.1346,0,44.90833
Hannah,NO,YES,10,75.94369,4,10.00007,NO,NO,NO,-2.952323,-2.618292,176.0404,0,44.90833
Hannah,NO,YES,11,78.3431,5,2.400001,YES,YES,NO,2.524526,-0.6808947,31.92785,10.79226,55.70058
Hannah,NO,YES,12,88.34066,6,10.00007,NO,NO,YES,-6.022829,-4.604908,120.7719,0,55.70058
Hannah,NO,YES,13,97.08297,5,8.744495,YES,YES,YES,4.371945,-1.685895,113.0109,2.389718,58.0903
Hannah,NO,YES,14,107.0805,1,10.00007,NO,NO,YES,-21.7447,-0.7707479,178.0117,0,58.0903
Hannah,NO,YES,15,115.2563,6,8.177821,YES,YES,YES,4.145977,-2.863168,144.2148,4.347237,62.43754
Hannah,NO,YES,16,125.2539,4,10.00007,NO,NO,YES,5.658773,-2.048562,190.3808,0,62.43754
Hannah,NO,YES,17,128.0865,5,2.83333,YES,YES,YES,3.122393,-2.206135,36.86939,7.261314,69.69885
Hannah,NO,YES,18,138.0841,6,10.00007,NO,NO,NO,-7.154331,-3.552631,110.8074,0,69.69885
Hannah,NO,YES,19,148.0816,1,10.00007,NO,NO,NO,-19.22322,-3.783876,124.414,0,69.69885
Hannah,NO,YES,20,158.0792,2,10.00007,NO,NO,NO,-15.39446,3.763852,300.006,0,69.69885
Hannah,NO,YES,21,168.0768,3,10.00007,NO,NO,NO,-13.61266,9.400195,134.7962,0,69.69885
Hannah,NO,YES,22,178.0743,4,10.00007,NO,NO,NO,2.241543,5.398038,224.8136,0,69.69885
Hannah,NO,YES,23,185.0948,5,7.02225,YES,YES,NO,6.533835,0.5151778,167.1265,5.109708,74.80856
Hannah,NO,YES,24,195.0924,6,10.00007,NO,NO,NO,1.310381,-0.5835196,102.8738,0,74.80856
Hannah,NO,YES,25,205.0899,1,10.00007,NO,NO,NO,-8.495913,1.598386,162.9978,0,74.80856
