Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score
Seth,YES,NO,1,10.00007,2,10.00007,NO,NO,NO,9.208012,3.127953,94.01115,0,0
Seth,YES,NO,2,19.99986,3,10.00007,NO,NO,NO,-0.3390402,3.372295,151.1293,0,0
Seth,YES,NO,3,29.99913,4,10.00007,NO,NO,NO,4.613191,2.626218,107.6668,0,0
Seth,YES,NO,4,39.99978,5,10.00007,NO,NO,NO,12.53151,6.990658,123.0162,0,0
Seth,YES,NO,5,50.00077,6,10.00007,NO,NO,NO,10.8789,4.540026,122.9229,0,0
Seth,YES,NO,6,60.00176,1,10.00007,NO,NO,NO,-7.01104,11.13979,104.4739,0,0
Seth,YES,NO,7,70.00069,2,10.00007,NO,NO,NO,-9.168364,7.523605,157.4218,0,0
Seth,YES,NO,8,79.99825,3,10.00007,YES,NO,NO,-7.795587,9.249482,152.726,0,0
Seth,YES,NO,9,89.99581,4,10.00007,NO,NO,NO,-0.1587927,3.67488,99.66935,0,0
Seth,YES,NO,10,99.99337,5,10.00007,NO,NO,NO,-2.628919,3.055094,155.5916,0,0
Seth,YES,NO,11,109.9909,6,10.00007,NO,NO,NO,-11.34975,4.047978,252.4548,0,0
Seth,YES,NO,12,119.9885,3,10.00007,NO,NO,YES,17.23261,7.991117,146.5628,0,0
Seth,YES,NO,13,129.9861,4,10.00007,NO,NO,YES,-10.38374,5.970517,205.911,0,0
Seth,YES,NO,14,139.9836,3,10.00007,NO,NO,YES,-9.294309,4.294362,322.891,0,0
Seth,YES,NO,15,149.9812,6,10.00007,NO,NO,YES,2.264459,2.709115,268.0232,0,0
Seth,YES,NO,16,159.9787,4,10.00007,NO,NO,YES,-3.42377,2.072134,133.9812,0,0
Seth,YES,NO,17,169.9763,6,10.00007,NO,NO,YES,-10.05421,5.96001,181.3953,0,0
Seth,YES,NO,18,179.9738,4,10.00007,NO,NO,YES,4.753405,1.241907,304.5229,0,0
Seth,YES,NO,19,187.983,2,8.011152,YES,YES,YES,-5.868692,0.3415537,206.1801,8.139975,8.139975
Seth,YES,NO,20,197.9806,3,10.00007,NO,NO,YES,5.342073,4.933392,167.7973,0,8.139975
Seth,YES,NO,21,207.9781,5,10.00007,NO,NO,YES,15.43102,-2.887974,267.5565,0,8.139975
Seth,YES,NO,22,217.9757,3,10.00007,NO,NO,YES,12.31367,0.2359027,308.3587,0,8.139975
Seth,YES,NO,23,225.4072,6,7.433367,YES,YES,YES,12.20683,-1.956612,159.0946,8.003717,16.14369
Seth,YES,NO,24,235.4048,1,10.00007,NO,NO,NO,14.87729,-3.087928,247.566,0,16.14369
Seth,YES,NO,25,245.4023,2,10.00007,NO,NO,NO,2.720717,-2.468779,371.3197,0,16.14369
