Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
1,NO,NO,1,10.00007,4,10.00007,NO,NO,YES,-3.663684,2.207542,79.72345,0,0,3.022218,4.311103,2.666665,0,1.211127,0.7888994
1,NO,NO,2,18.93327,6,8.933387,YES,YES,YES,7.437159,-2.843366,122.1515,7.198466,7.198466,0.4777778,5.766678,2.688887,0.2444267,1.722097,0.04444122
1,NO,NO,3,24.13289,3,5.200004,YES,YES,YES,-9.24827,6.471373,70.79284,12.73764,19.93611,1.444447,1.644447,2.111114,1.177692,0.8332729,0
1,NO,NO,4,28.28815,6,4.155545,YES,YES,YES,7.689868,-2.408058,72.25023,13.74217,33.67828,0.1888889,1.211113,2.755553,0.1777649,1.211023,0.6221771
1,NO,NO,5,33.61026,5,5.322227,YES,YES,YES,7.945415,-1.283058,97.07113,12.44358,46.12186,0.7777785,4.533328,0.01111111,0.05555725,1.944572,0
1,NO,NO,6,35.79936,6,2.188891,YES,YES,NO,8.212408,-2.44202,35.92928,14.5465,60.66836,0.9111122,1.27778,0,0.7889671,1.211231,0
1,NO,NO,7,41.7444,1,5.944458,YES,YES,NO,-3.788161,-2.323853,119.2669,13.20924,73.8776,0.5,2.5,2.944441,0.2333565,1.344578,0.4222641
1,NO,NO,8,44.71136,2,2.966663,YES,YES,NO,-12.11948,2.026277,42.91113,16.43596,90.31357,0.7666674,2.188891,0.01111111,0.7556305,1.244568,0
1,NO,NO,9,54.71235,3,10.00007,YES,NO,NO,-8.289035,5.974632,136.6315,0,90.31357,1.655559,8.211155,0.1333333,0.5000496,1.500149,0
1,NO,NO,10,56.99035,4,2.277779,YES,YES,NO,7.79153,4.111054,41.01263,10.43694,100.7505,0.6666671,0.1111111,1.500003,0.6667328,0.1111221,1.222343
1,NO,NO,11,65.53512,5,8.544493,YES,YES,NO,4.750316,1.358942,146.826,3.937504,104.688,1.311113,7.066695,0.1666667,0.8220215,1.022137,0.166626
1,NO,NO,12,70.10067,6,4.566662,YES,YES,NO,8.055635,-2.995112,62.31686,6.433021,111.121,0.900001,3.111106,0.5555557,0.8553467,0.8553467,0.2999268
1,NO,NO,13,80.09823,1,10.00007,NO,NO,NO,-1.726411,-0.4237919,158.9821,0,111.121,0.7222228,7.000028,2.277779,0.2110596,1.799561,0
1,NO,NO,14,90.09579,2,10.00007,NO,NO,NO,-3.585886,-3.787491,142.9666,0,111.121,1.422225,8.177821,0.4,0.1444092,1.866211,0
1,NO,NO,15,100.0933,3,10.00007,NO,NO,NO,-1.335944,-1.791876,120.9553,0,111.121,4.522217,4.266658,1.211113,0,0.7998047,1.210815
1,NO,NO,16,103.1926,4,3.099995,YES,YES,NO,9.153514,6.077758,43.03523,7.481124,118.6022,1.255558,0.1666667,1.677781,1.244141,0.166626,0.5998535
1,NO,NO,17,109.691,5,6.500021,YES,YES,NO,7.439214,0.3189585,83.71545,4.80511,123.4073,0.9111122,5.588898,0,0.5665283,1.444092,0
1,NO,NO,18,113.5678,4,3.877766,YES,YES,YES,9.633507,2.267916,48.63403,7.665595,131.0729,1.788892,2.088892,0,1.444092,0.5665283,0
1,NO,NO,19,117.9001,2,4.333325,YES,YES,YES,-9.298182,2.886909,54.29712,11.13345,142.2063,1.466669,1.100002,1.76667,1.166382,0.8442383,0
1,NO,NO,20,127.8977,5,10.00007,YES,NO,YES,5.641259,1.588544,186.241,0,142.2063,1.566669,7.100029,1.333336,0.6331787,1.377441,0
1,NO,NO,21,132.5632,2,4.666663,YES,YES,YES,-9.567986,2.435781,68.8236,14.87243,157.0788,0.8555565,1.455558,2.355556,0.6887207,1.321899,0
1,NO,NO,22,142.5608,5,10.00007,NO,NO,YES,-4.02805,3.232632,52.64323,0,157.0788,0.01111111,8.088931,1.900004,0,1.955078,0.05554199
1,NO,NO,23,152.5583,1,10.00007,NO,NO,YES,18.06115,-2.117816,694.3906,0,157.0788,0,4.666663,5.333339,0,0,2.01062
1,NO,NO,24,162.5559,6,10.00007,NO,NO,YES,19.55289,-3.066244,690.38,0,157.0788,0.01111111,0.03333334,9.955623,0,0.0222168,1.988403
1,NO,NO,25,172.5534,3,10.00007,NO,NO,YES,17.89521,-3.19683,724.0456,0,157.0788,0,0.01111111,9.988956,0,0,2.01062
