Participant ID,Using right hand?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Accuracy Score,Time Score,Cumulative Accuracy Score,Cumulative Time Score,Cumulative Score,Reach Distance,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
emilytest5,YES,NO,1,10.00007,2,10.00007,NO,NO,NO,-3.244118,-0.1810436,57.86234,0,6.771088E-05,-6.771088E-05,6.771088E-05,-6.771088E-05,0,0,0,6.100016,3.899988,0,0.1777802,1.822247
emilytest5,YES,NO,2,19.99986,3,10.00007,YES,NO,NO,-2.963394,2.749971,81.31583,0,6.771088E-05,-6.771088E-05,0.0001354218,-0.0001354218,0,0,0.3222222,7.633369,2.044448,0.3221989,1.688766,0
emilytest5,YES,NO,3,29.99913,4,10.00007,NO,NO,NO,1.640191,1.466142,62.69671,0,6.771088E-05,-6.771088E-05,0.0002031326,-0.0002031326,0,0,0,0.8111119,9.188946,0,0.3666401,1.644325
emilytest5,YES,NO,4,39.99978,5,10.00007,NO,NO,NO,-1.803752,-1.123209,93.199,0,6.771088E-05,-6.771088E-05,0.0002708435,-0.0002708435,0,0,3.777767,6.211128,0.01111111,0.1777954,1.822403,0
emilytest5,YES,NO,5,50.00077,6,10.00007,NO,NO,NO,-0.5119781,-0.09683247,97.90331,0,6.771088E-05,-6.771088E-05,0.0003385544,-0.0003385544,0,0,0,5.044446,4.955556,0,1.05566,0.9445381
emilytest5,YES,NO,6,60.00176,1,10.00007,NO,NO,NO,-3.309694,-0.4593645,69.16019,0,6.771088E-05,-6.771088E-05,0.0004062653,-0.0004062653,0,0,0.8555565,8.955609,0.1888889,0,2.000198,0
emilytest5,YES,NO,7,70.00069,2,10.00007,NO,NO,NO,-3.294288,1.241319,118.7002,0,6.771088E-05,-6.771088E-05,0.0004739761,-0.0004739761,0,0,0.2444444,4.599996,5.155559,0,1.288574,0.7220459
emilytest5,YES,NO,8,79.99825,3,10.00007,NO,NO,NO,-18.13936,-12.0214,347.7263,0,6.771088E-05,-6.771088E-05,0.000541687,-0.000541687,0,0,1.588892,1.722225,6.688912,0,0,2.01062
emilytest5,YES,NO,9,89.99581,4,10.00007,NO,NO,NO,-18.89756,-12.46685,481.7135,0,6.771088E-05,-6.771088E-05,0.0006093979,-0.0006093979,0,0,0,0.01111111,9.988956,0,0,2.01062
emilytest5,YES,NO,10,99.99337,5,10.00007,NO,NO,NO,-19.44794,-13.11206,392.6528,0,6.771088E-05,-6.771088E-05,0.0006771088,-0.0006771088,0,0,0,0.01111111,9.988956,0,0,2.01062
emilytest5,YES,NO,11,109.9909,6,10.00007,NO,NO,NO,-18.88745,-12.29208,482.3438,0,6.771088E-05,-6.771088E-05,0.0007448196,-0.0007448196,0,0,0,0.01111111,9.988956,0,0,2.01062
emilytest5,YES,NO,12,119.9885,3,10.00007,NO,NO,YES,-20.28958,-13.46452,417.7733,0,6.771088E-05,-6.771088E-05,0.0008125305,-0.0008125305,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,13,129.9861,6,10.00007,NO,NO,YES,-19.62612,-12.74725,416.5412,0,6.771088E-05,-6.771088E-05,0.0008802414,-0.0008802414,0,0,0,0,10.00007,0,0,2.010628
emilytest5,YES,NO,14,139.9836,3,10.00007,NO,NO,YES,-18.93371,-13.06845,362.5884,0,6.771088E-05,-6.771088E-05,0.0009479523,-0.0009479523,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,15,149.9812,1,10.00007,NO,NO,YES,-18.26011,-12.63651,443.4087,0,6.771088E-05,-6.771088E-05,0.001015663,-0.001015663,0,0,0,0.01111111,9.988956,0,0,2.01062
emilytest5,YES,NO,16,159.9787,2,10.00007,NO,NO,YES,-20.0207,-12.77172,489.2055,0,6.771088E-05,-6.771088E-05,0.001083374,-0.001083374,0,0,0,0.01111111,9.988956,0,0,2.01062
emilytest5,YES,NO,17,169.9763,6,10.00007,NO,NO,YES,-18.34739,-12.19468,545.0743,0,6.771088E-05,-6.771088E-05,0.001151085,-0.001151085,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,18,179.9738,1,10.00007,NO,NO,NO,-20.02513,-12.56239,498.4142,0,6.771088E-05,-6.771088E-05,0.001218796,-0.001218796,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,19,189.9714,2,10.00007,NO,NO,NO,-18.91305,-12.99312,530.4454,0,6.771088E-05,-6.771088E-05,0.001286507,-0.001286507,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,20,199.969,3,10.00007,NO,NO,NO,-18.48771,-12.27877,534.0699,0,6.771088E-05,-6.771088E-05,0.001354218,-0.001354218,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,21,209.9665,4,10.00007,NO,NO,NO,-18.23883,-11.7799,472.4452,0,6.771088E-05,-6.771088E-05,0.001421928,-0.001421928,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,22,219.9641,5,10.00007,NO,NO,NO,-20.09551,-12.67625,449.6996,0,6.771088E-05,-6.771088E-05,0.001489639,-0.001489639,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,23,229.9616,6,10.00007,NO,NO,NO,-19.32849,-12.47663,390.9455,0,6.771088E-05,-6.771088E-05,0.00155735,-0.00155735,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,24,239.9592,1,10.00007,NO,NO,NO,-19.99186,-12.99334,445.7559,0,6.771088E-05,-6.771088E-05,0.001625061,-0.001625061,0,0,0,0,10.00007,0,0,2.01062
emilytest5,YES,NO,25,249.9568,2,10.00007,NO,NO,NO,-20.16892,-12.47263,396.3716,0,6.771088E-05,-6.771088E-05,0.001692772,-0.001692772,0,0,0,0,10.00007,0,0,2.01062
