Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
murray5-29,NO,NO,1,2.477778,5,2.477778,YES,YES,YES,4.770648,2.500327,25.25112,15.17119,15.17119,2.466667,0,0.01111111,2.011111,0,0
murray5-29,NO,NO,2,3.855544,2,1.37778,YES,YES,YES,-8.233077,-1.187415,26.68381,13.45039,28.62158,1.366669,0,0.01111111,1.366656,0,0.01111102
murray5-29,NO,NO,3,4.566662,1,0.7111117,YES,YES,YES,-6.582493,1.504329,17.00225,11.66485,40.28643,0.7000005,0,0.01111111,0.7000065,0,0.01111102
murray5-29,NO,NO,4,5.233337,2,0.6666671,YES,YES,YES,-4.074644,0.3919015,19.03958,12.76822,53.05466,0.6666671,0,0,0.6666756,0,0
murray5-29,NO,NO,5,6.411131,4,1.17778,YES,YES,YES,3.841727,0.4488709,24.61687,13.3877,66.44236,1.166668,0,0.01111111,1.166682,0,0.01111126
murray5-29,NO,NO,6,7.088918,5,0.6777782,YES,YES,NO,4.421514,0.7529467,15.37132,13.60087,80.04323,0.6777782,0,0,0.6777868,0,0
murray5-29,NO,NO,7,7.644481,6,0.5555557,YES,YES,NO,3.957666,2.584897,5.174466,14.36272,94.40595,0.5444446,0,0.01111111,0.5444517,0,0.01111126
murray5-29,NO,NO,8,8.811163,1,1.166668,YES,YES,NO,-6.250854,-1.599069,16.12489,14.77366,109.1796,1.166668,0,0,1.166682,0,0
murray5-29,NO,NO,9,9.522284,2,0.7111117,YES,YES,NO,-10.56554,3.277859,22.45772,15.57455,124.7542,0.7111117,0,0,0.7111206,0,0
murray5-29,NO,NO,10,10.25563,3,0.7333339,YES,YES,NO,-7.149627,4.240034,15.54168,17.68659,142.4408,0.7222228,0,0.01111111,0.7222319,0,0.01111126
murray5-29,NO,NO,11,11.4112,4,1.155557,YES,YES,NO,7.478145,2.702957,22.93732,18.46387,160.9046,1.155557,0,0,1.155571,0,0
murray5-29,NO,NO,12,11.98898,5,0.577778,YES,YES,NO,4.177788,2.787265,9.06734,17.91179,178.8164,0.577778,0,0,0.5777855,0,0
murray5-29,NO,NO,13,12.53343,6,0.5444446,YES,YES,NO,5.253099,1.945435,6.017333,15.81597,194.6324,0.5444446,0,0,0.5444517,0,0
murray5-29,NO,NO,14,13.55567,1,1.022224,YES,YES,NO,-8.440236,2.589778,19.89909,13.23809,207.8705,1.022224,0,0,1.022236,0,0
murray5-29,NO,NO,15,14.1779,2,0.6222225,YES,YES,NO,-12.29649,2.935849,11.90309,17.80713,225.6776,0.6222225,0,0,0.6222305,0,0
murray5-29,NO,NO,16,14.77791,3,0.6000003,YES,YES,NO,-7.915631,3.114639,10.93983,13.61582,239.2935,0.6000003,0,0,0.600008,0,0
murray5-29,NO,NO,17,15.86681,4,1.08889,YES,YES,NO,2.787652,1.68105,21.50905,16.3009,255.5944,1.08889,0,0,1.088903,0,0
murray5-29,NO,NO,18,16.3779,5,0.5111111,YES,YES,YES,5.206489,2.732834,6.846652,14.60623,270.2006,0.5111111,0,0,0.5110846,0,0
murray5-29,NO,NO,19,17.23339,4,0.8555565,YES,YES,YES,4.760215,4.286067,6.860444,15.05808,285.2587,0.8555565,0,0,0.8554935,0,0
murray5-29,NO,NO,20,18.34442,2,1.111113,YES,YES,YES,-8.664133,2.265538,21.39075,11.99882,297.2575,1.111113,0,0,1.111031,0,0
murray5-29,NO,NO,21,19.73321,5,1.388891,YES,YES,YES,5.98452,2.795776,27.38531,13.98391,311.2414,1.388891,0,0,1.388788,0,0
murray5-29,NO,NO,22,21.07756,3,1.344447,YES,YES,YES,-9.692275,4.753781,26.9244,15.92963,327.171,1.344447,0,0,1.344347,0,0
murray5-29,NO,NO,23,22.9552,6,1.877781,YES,YES,YES,5.961548,4.141371,29.59161,17.50046,344.6715,1.877781,0,0,1.877642,0,0
murray5-29,NO,NO,24,24.37732,1,1.422225,YES,YES,NO,-10.16544,1.659485,26.01291,13.98528,358.6568,1.422225,0,0,1.422119,0,0
murray5-29,NO,NO,25,25.36613,2,0.9888902,YES,YES,NO,-11.4067,3.351131,20.79811,13.22608,371.8828,0.9888902,0,0,0.9888172,0,0
